name,rank1,rank2,rank3,rank4,rank5
Aiden,Team 10,Team 15,Team 1,Team 8,Team 18
Bianca,Team 4,Team 6,Team 14,Team 10,Team 19
Caleb,Team 12,Team 15,Team 16,Team 2
Delia,Team 14,Team 18,Team 10,Team 12
Ethan,Team 18,Team 9,Team 16,Team 19
Farah,Team 9,Team 11,Team 7,Team 1,Team 2
Gavin,Team 6,Team 14,Team 5,Team 17
Hana,Team 13,Team 3,Team 1,Team 8
Ibrahim,Team 15,Team 9,Team 16,Team 10,Team 14
Jolene,Team 11,Team 18,Team 16,Team 5,Team 19
Kenji,Team 4,Team 18,Team 8,Team 12,Team 1
Layla,Team 16,Team 14,Team 12,Team 19,Team 15
Marcus,Team 4,Team 13,Team 20,Team 16
Nadia,Team 12,Team 4,Team 3,Team 20
Oscar,Team 2,Team 17,Team 19,Team 4,Team 10
Priya,Team 1,Team 13,Team 17,Team 2,Team 7
Quentin,Team 6,Team 17,Team 11,Team 1,Team 20
Rosa,Team 4,Team 11,Team 10,Team 14,Team 18
Samir,Team 20,Team 3,Team 14,Team 10,Team 12
Talia,Team 16,Team 20,Team 3,Team 14
Uma,Team 15,Team 1,Team 7,Team 11,Team 8
Victor,Team 8,Team 11,Team 9,Team 14,Team 10
Wren,Team 8,Team 6,Team 12,Team 2,Team 11
Ximena,Team 6,Team 18,Team 9,Team 3,Team 17
Yusuf,Team 2,Team 20,Team 11,Team 4
